Стаж работы (в годах),Стаж работы (в месяцах),"Зарплата, руб. (зависимая переменная)"
18.522781845089376,222.27338214107252,67316.32
4.735924306351816,56.83109167622179,50318.39
12.308643164339552,147.70371797207463,48267.53
6.256673477650062,75.08008173180075,49127.61
0.7201012158033384,8.641214589640061,33051.1
8.12525822394198,97.50309868730376,65274.26
1.8565897666381712,22.279077199658055,35832.83
8.158102849654384,97.8972341958526,48210.81
0.6023020994102644,7.227625192923172,30854.03
6.565536086338297,78.78643303605956,64020.98
24.63242112485286,295.5890534982343,89317.62
10.03532897892024,120.42394774704289,52223.2
2.6465683323795606,31.758819988554727,37628.58
2.345871333751469,28.150456005017627,47159.74
5.622875292409727,67.47450350891673,43214.45
2.9698467323318605,35.63816078798233,30219.76
0.8704706823817121,10.445648188580545,44785.21
14.535340771573168,174.424089258878,67068.05
9.746816702273215,116.96180042727858,44851.08
14.123037013352915,169.476444160235,74876.88
5.034756541161992,60.417078493943905,31031.15
0.771017094141042,9.252205129692504,33112.72
3.8531737972883677,46.238085567460416,34250.1
14.018510627922808,168.2221275350737,66977.74
0.7282891265687277,8.739469518824732,40028.59
3.4115197481664388,40.93823697799726,47714.24
8.219025043752238,98.62830052502684,52768.31
4.465149520670211,53.581794248042534,39418.3
4.694743859349521,56.33692631219425,42141.74
18.657745111447564,223.89294133737076,99591.26
14.247481862134567,170.96978234561482,64285.33
6.017066122293969,72.20479346752764,40891.45
8.22544912103189,98.70538945238268,63921.28
4.634176928124623,55.61012313749547,30738.5
9.633761292443218,115.60513550931861,42281.56
15.230298564080254,182.76358276896303,82526.0
5.297602037670388,63.57122445204466,49544.05
13.204566130842764,158.45479357011317,63956.14
9.905363251306884,118.86435901568261,58853.93
1.537251059455279,18.447012713463348,38865.65
0.13497224737933922,1.6196669685520706,51146.06
10.30999522495951,123.71994269951412,50560.46
7.519330326867742,90.2319639224129,39021.83
14.778940447415161,177.34728536898194,72853.88
1.7457781283183895,20.949337539820675,42973.5
